"llave","folio_sist","tipo_resid","consec_residuo","nombre_residuo","cantidad_resid","unidad_resid","otra_unidad","cant_r_no_comes","unid_r_no_comes","otra_ur_no_comes","t_colecta","otro_t_colecta","causa_desecho","destino","cant_banco","unidad_banco","otro_destino","autoriza_imag","imagen_resid","id_denue","nombre_establecimiento","personas_ocupadas","tipo_actividad","tipo_unidad_economica","sector_scian"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a",3,1,"pellejo hueso",35,2,,35,2,,2,,"no sé venden",2,"NA","NA",,1,"imagen_res___3-0.jpg",20185,"POLLERÍA EL GALLO DE ORO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Semifijo","Terciario"
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,1,"mezcla","NA","NA",,"NA","NA",,"NA",,,8,"NA","NA","Regalado",1,"imagen_res___5-0.jpg",9013,"GORDITAS GABY","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Semifijo","Terciario"
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79",5,2,"residuos varios",2,2,,2,2,,1,,"Lo que no se vende",8,"NA","NA","Regalado a los empleados",2,,9013,"GORDITAS GABY","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Semifijo","Terciario"
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",1,1,"mezcla vegetales",2,2,,2,2,,1,,"no es parte del proceso",4,"NA","NA",,1,"imagen_res___1-0.jpg",99999005,"NA","NA","NA","NA","NA"
"77-06-67-30","11f1b33a479b47a1b69e19f94e022a64",2,1,"aceite vegetal quemado",2,4,,2,4,,5,"cada 2 días","el aceite ya está usado",8,"NA","NA","lo regala",2,,99999005,"NA","NA","NA","NA","NA"
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,1,"jitomate",15,2,,0,"NA",,2,,"humedad y el calor",8,"NA","NA","lo dona a gente, y lo tira cuando de plano ya no sirve",1,"imagen_res___1-0.jpg",20163,"PUESTO DE VERDURA SIN NOMBRE","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,2,"pepino",2,2,,2,2,,2,,"maduración",4,"NA","NA",,2,,20163,"PUESTO DE VERDURA SIN NOMBRE","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"65-43-42-69","1011c2eddf2b4896b6c5a3a39ccbadaf",1,3,"Guayaba",6,2,,0,"NA",,2,,"maduración",8,"NA","NA","donación",1,"imagen_res___1-2.jpg",20163,"PUESTO DE VERDURA SIN NOMBRE","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,1,"pollo",20,2,,0,"NA",,1,,"huso y pellejo",8,"NA","NA","gente compra y no saben el destino final",2,,24392,"POLLERÍA LA PRINCIPAL","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"50-22-36-53","16b9280b8d654643a96a5f4370d6e720",3,2,"huevo",2,5,"piezas",2,5,"piezas",5,"eventualmente","rotos",4,"NA","NA",,2,,24392,"POLLERÍA LA PRINCIPAL","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,1,"res y cerdo",10,2,,0,"NA",,2,,"huesos y pellejos",8,"NA","NA","lo venden",1,"##N/A##",20562,"OBRADOR SAN FERNANDO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"08-86-84-51","191252af015d45139bdae2e9445d0055",3,2,"pollo",2,2,,2,2,,1,,"huacal y pellejo",2,"NA","NA",,1,"##N/A##",20562,"OBRADOR SAN FERNANDO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,1,"calabaza",15,2,,6,2,,1,,"por la humedad",2,"NA","NA",,1,"##N/A##",49786,"CHARLIS FRUIT","6 a 10 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,2,"coliflor",7,2,,7,2,,1,,"humedad del clima",2,"NA","NA",,1,"##N/A##",49786,"CHARLIS FRUIT","6 a 10 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"54-31-39-72","25e3002992ec48679df3270aea8b3662",1,3,"brocoli",7,2,,7,2,,1,,"humedad x clima",2,"NA","NA",,1,"##N/A##",49786,"CHARLIS FRUIT","6 a 10 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"07-42-68-66","35f3597b869c44b982828854148c49fd",4,1,"recorte de jamón",5,2,,"NA","NA",,2,,"próximo a caducar",8,"NA","NA","lo vende",1,"imagen_res___4-0.jpg",36324,"CREMERIA NUEVA TERAN","11 a 30 personas","Comercio al por menor de leche, otros productos lácteos y embutidos","Fijo","Terciario"
"70-77-87-59","3c92d73814b84f5eb49695b657083cb8",3,1,"hueso de pollo",100,2,,100,2,,2,,"ya no escomestible",8,"NA","NA","vende",1,"imagen_res___3-0.jpg",34097,"POLLERÍA POLLOS TALIVAN","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"55-95-73-76","43382bb17dff47429221517d606ceac1",3,1,"cerdo",50,2,,10,2,,1,,"procesamiento del producto",2,"NA","NA",,1,"##N/A##",49779,"CHICHARONERA LOS AZULEJOS","0 a 5 personas","Industria alimentaria","Fijo","Secundario"
"04-59-39-62","43e26796f47645288e6e6a806ea76592",1,1,"naranja",200,2,,50,2,,2,,"basura podrido",4,"NA","NA",,1,"imagen_res___1-0.jpg",11999,"COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"24-07-91-89","46294dbd8881403596f29085c5afcef5",1,1,"jitomate",10,2,,5,2,,1,,"se echan a perder",4,"NA","NA",,2,,99999143,"NA","NA","NA","NA","NA"
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",1,1,"mezcla vegetales",300,1,,0,"NA",,1,,"se echa a perder",4,"NA","NA",,1,"imagen_res___1-0.jpg",18290,"CARNICERÍA LA MINGA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"73-95-78-35","4a7f065e1e2243dd8a05d52fb98f430b",3,1,"huesos",30,2,,0,"NA",,1,,"no sé ocupa para su venta",8,"NA","NA","los regala",2,,18290,"CARNICERÍA LA MINGA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,1,"cerdo",100,2,,100,2,,1,,"hueso",8,"NA","NA","alguien se lo lleva",1,"imagen_res___3-0.jpg",25805,"CARNES SUPREMA EL RECREO","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,2,"pollo",1500,1,,1500,1,,1,,"desperdicio de hueso y pellejo",8,"NA","NA","se los lleva una persona",2,,25805,"CARNES SUPREMA EL RECREO","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"56-17-32-17","486df450df8145118f5796b2a954f5d6",3,3,"##N/A##","NA","NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,25805,"CARNES SUPREMA EL RECREO","6 a 10 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",1,1,"jitomate",1,2,,1,2,,2,,"porque  se pudre",4,"NA","NA",,2,,13473,"CARNICERÍA NAJERA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"38-93-12-09","58483686d83a474f81a3c45a41c88bbf",3,1,"pollo y carne rojas",8,2,,8,2,,2,,"pellejo y grasa",8,"NA","NA","donación a una persona",2,,13473,"CARNICERÍA NAJERA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",2,1,"harina",0,"NA",,"NA","NA",,"NA",,,2,"NA","NA",,2,,20089,"INTEGRALES VIVA MÁS","11 a 30 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,1,"leche",0,"NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,20089,"INTEGRALES VIVA MÁS","11 a 30 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"59-89-02-75","5e9e1c3f1fd8410aafbc30eebf22578d",3,2,"huevo",0,"NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,20089,"INTEGRALES VIVA MÁS","11 a 30 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"53-85-34-21","617c1795cc3846228b924cf3246acb95",4,1,"manteca",100,2,,100,2,,4,,"reciclada",8,"NA","NA","convierte en bio diésel",2,,12291,"EMPACADORA SAN FRANCISCO","0 a 5 personas","Comercio al por menor de otros alimentos","Fijo","Terciario"
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,1,"jitomate",1,2,,500,1,,2,,"maduración pronta",8,"NA","NA","regala",2,,6322,"NA","NA","NA","NA","NA"
"53-27-23-59","66fce4e079a94f7693191d79cf6ce2a5",2,2,"carne",500,1,,400,1,,1,,"no sé lo comen",4,"NA","NA",,2,,6322,"NA","NA","NA","NA","NA"
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,1,"cebo de la tripa de res",500,1,,500,1,,2,,"no tiene uso para ellos",8,"NA","NA","Lo vende",1,"imagen_res___3-0.jpg",34012,"GONVI PROCESADORA Y COMERCIALIZADORA DE CARNES Y VISCERAS","0 a 5 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,2,"higado",10,2,,10,2,,2,,"se echa a perder rápidamente",8,"NA","NA","lo regala",2,,34012,"GONVI PROCESADORA Y COMERCIALIZADORA DE CARNES Y VISCERAS","0 a 5 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"96-57-45-57","6768cacb96514fe78104388a2824d58b",3,3,"huesos",300,2,,300,2,,2,,"no tienen uso para eso",8,"NA","NA","lo regalan",2,,34012,"GONVI PROCESADORA Y COMERCIALIZADORA DE CARNES Y VISCERAS","0 a 5 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"53-49-26-41","82eb3f4759634438993e880cd877a38d",1,1,"varias","NA","NA",,"NA","NA",,"NA",,,8,"NA","NA","animales",1,"imagen_res___1-0.jpg",9015,"FRUTAS Y VERDURAS SG","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,1,"calabaza","NA","NA",,"NA","NA",,"NA",,,7,"NA","NA",,2,,9016,"FRUTAS Y LEGUMBRES SIN NOMBRE","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,2,"jitomate","NA","NA",,"NA","NA",,"NA",,,7,"NA","NA",,2,,9016,"FRUTAS Y LEGUMBRES SIN NOMBRE","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,3,"zanahoria","NA","NA",,"NA","NA",,"NA",,,7,"NA","NA",,2,,9016,"FRUTAS Y LEGUMBRES SIN NOMBRE","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"12-72-69-88","81481e6110c141f18cd478542e3a0c6d",1,4,"forraje de la verdura o fruta","NA","NA",,"NA","NA",,"NA",,,2,"NA","NA",,2,,9016,"FRUTAS Y LEGUMBRES SIN NOMBRE","0 a 5 personas","Comercio al por mayor de frutas y verduras frescas","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,1,"zanahoria",2,2,,2,2,,5,"anual","cascaras",2,"NA","NA",,2,,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,2,"brocoli",0,"NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",1,3,"coliflor",0,"NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",3,1,"pollo",1,2,,1,2,,5,"anual","pellejos y huesos",2,"NA","NA",,2,,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"58-14-84-28","6c156cf9c02744fe996adb3460d4110f",5,1,"sobras de platillos servidos",200,2,,0,"NA",,5,"anual","sobras revueltas",2,"NA","NA",,2,,30783,"EVENTOS Y BANQUETES MUROS","0 a 5 personas","Servicios de preparación de alimentos para ocasiones especiales","Fijo","Terciario"
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,1,"jitomate",5,2,,3,2,,1,,"exceso de madurez",8,"NA","NA","uso de las personas alcohólicas",1,"imagen_res___1-0.jpg",99999007,"NA","NA","NA","NA","NA"
"98-38-33-96","8423170f4ace4aef9363def78726a00c",1,2,"piña",7,2,,0,"NA",,2,,"piña golpeada",8,"NA","NA","La recoge la gente",1,"##N/A##",99999007,"NA","NA","NA","NA","NA"
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",1,1,"ajo",1,2,,1,2,,4,,"pudre",4,"NA","NA",,"NA",,12241,"BODEGA SAN JUAN","0 a 5 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"92-86-79-74","8dc359d772ee499db97737d90ca5f66d",5,1,"latas, conservas",0,"NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,12241,"BODEGA SAN JUAN","0 a 5 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,1,"melón",2,2,,2,2,,1,,"maduración rápida por la lluvia",8,"NA","NA","regalando al centro de rehabilitación","NA",,10959,"NA","NA","NA","NA","NA"
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,2,"sandía",7,2,,7,"NA",,5,"tercer día","7",8,"NA","NA","centro de Rehabilitación","NA",,10959,"NA","NA","NA","NA","NA"
"66-30-95-73","ab6f684c53834c4e95c4ff4daee2eabd",1,3,"papaya",3,2,,3,2,,1,,"producto de exhibición",8,"NA","NA","centro de rehabilitación",1,"imagen_res___1-2.jpg",10959,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,1,"papa",2,2,,2,2,,1,,"cáscaras",2,"NA","NA",,2,,497861,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",1,2,"zanahoria",1500,1,,1500,1,,1,,"cáscara",2,"NA","NA",,2,,497861,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",3,1,"pollo",2,2,,2,2,,1,,"partes no comestibles",2,"NA","NA",,2,,497861,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",5,1,"restos de comida",1,5,"bote de 20 litros, de los cuales la mitad son de otro.",1,5,"Bote de 20 litros de los cuales la mitad es de otro.",1,,"restos de comida",2,"NA","NA",,2,,497861,"NA","NA","NA","NA","NA"
"57-21-47-06","abdfff92309f48b48d5d170ac43c432b",3,1,"varios",6,2,,0,"NA",,1,,"desperdicio",2,"NA","NA",,1,"imagen_res___3-0.jpg",9480,"SUPER POLLERIAS KILO POLLO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"45-09-09-57","a64f864a2448412b96b4df92169f805b",1,1,"varios",5,2,,0,"NA",,1,,"desohojo",8,"NA","NA","regalo a un señor",1,"imagen_res___1-0.jpg",9468,"FRUTERÍA DON BOSCO","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,1,"cerdo",50,2,,0,"NA",,2,,"##N/A##",8,"NA","NA","otras personas lo compran",1,"imagen_res___3-0.jpg",6709385,"OBRADOR VIÑEDOS","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,2,"##N/A##","NA","NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,6709385,"OBRADOR VIÑEDOS","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,3,"##N/A##","NA","NA",,"NA","NA",,"NA",,,"NA","NA","NA",,"NA",,6709385,"OBRADOR VIÑEDOS","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"00-92-24-77","bcbf247742134c8982a15c15fdf9c0ef",1,1,"papa",50,2,,"NA","NA",,1,,"podrido",4,"NA","NA",,1,"imagen_res___1-0.jpg",25611,"TENABRI S DE RL DE CV","0 a 5 personas","Cultivo de frutas / vegetales","Fijo","Primario"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",1,1,"mezcla verduras y frutas",4,2,,0,"NA",,1,,"residuos de vegetales y frutas",4,"NA","NA",,1,"imagen_res___1-0.jpg",1819,"CENDI OLIVARES SANTANA","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",4,1,"residuos de comida",1,2,,0,"NA",,1,,"comida que dejan los niños",4,"NA","NA",,1,"imagen_res___4-0.jpg",1819,"CENDI OLIVARES SANTANA","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",1,1,"jitomate",2,2,,2,2,,2,,"echado a perder",4,"NA","NA",,1,"imagen_res___1-0.jpg",34165,"POLLERÍA ARA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
